,model,level,threshold,method,accuracy,f1_score,recall,precision
0,full_models2,alt,0.5,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
1,full_models2,alt,0.55,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
2,full_models2,alt,0.6000000000000001,method1,0.10920974450386216,0.18058592041976387,0.9892215568862276,0.09936244436424876
3,full_models2,alt,0.6500000000000001,method1,0.29393939393939394,0.18121684007441605,0.7874251497005988,0.10239040722572608
4,full_models2,alt,0.7000000000000002,method1,0.7650029708853239,0.19955474600283346,0.2952095808383233,0.15071843472944055
5,full_models2,alt,0.7500000000000002,method1,0.8970291146761735,0.03775680177679067,0.02035928143712575,0.2595419847328244
6,full_models2,alt,0.8000000000000003,method1,0.9008318478906714,0.0035820895522388056,0.0017964071856287425,0.6
7,full_models2,alt,0.8500000000000003,method1,0.9007724301841948,0.0,0.0,0.0
8,full_models2,alt,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
9,base_model,,0.5,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
10,base_model,,0.55,method1,0.12786690433749257,0.18137200223089794,0.9736526946107784,0.1
11,base_model,,0.6000000000000001,method1,0.6057040998217469,0.21430262846317782,0.5419161676646707,0.13355962219598583
12,base_model,,0.6500000000000001,method1,0.8852644087938205,0.0826603325415677,0.052095808383233536,0.2
13,base_model,,0.7000000000000002,method1,0.9004753416518122,0.014125956444967627,0.00718562874251497,0.41379310344827586
14,base_model,,0.7500000000000002,method1,0.9007130124777184,0.001195457262402869,0.0005988023952095808,0.3333333333333333
15,base_model,,0.8000000000000003,method1,0.9007724301841948,0.0,0.0,0.0
16,base_model,,0.8500000000000003,method1,0.9007724301841948,0.0,0.0,0.0
17,base_model,,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
18,full_models2,level3,0.5,method1,0.11229946524064172,0.1803818301514154,0.9844311377245509,0.09928735354511414
19,full_models2,level3,0.55,method1,0.15941770647653,0.17945594803085665,0.9263473053892216,0.09935135829426497
20,full_models2,level3,0.6000000000000001,method1,0.2845513963161022,0.1776958273577819,0.7790419161676647,0.10028520773915055
21,full_models2,level3,0.6500000000000001,method1,0.49156268568033273,0.1780808759965421,0.5550898203592814,0.10605193913739847
22,full_models2,level3,0.7000000000000002,method1,0.6948306595365419,0.16731517509727625,0.3089820359281437,0.11471765228990663
23,full_models2,level3,0.7500000000000002,method1,0.8269162210338681,0.12338248570568765,0.12275449101796407,0.12401693889897157
24,full_models2,level3,0.8000000000000003,method1,0.8825906120023768,0.050912584053794424,0.03173652694610778,0.12864077669902912
25,full_models2,level3,0.8500000000000003,method1,0.898989898989899,0.015063731170336036,0.007784431137724551,0.23214285714285715
26,full_models2,level3,0.9000000000000004,method1,0.9006535947712418,0.0011947431302270011,0.0005988023952095808,0.25
27,full_models2,level1,0.5,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
28,full_models2,level1,0.55,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
29,full_models2,level1,0.6000000000000001,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
30,full_models2,level1,0.6500000000000001,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
31,full_models2,level1,0.7000000000000002,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
32,full_models2,level1,0.7500000000000002,method1,0.1160427807486631,0.17883755588673622,0.9700598802395209,0.09849820635982245
33,full_models2,level1,0.8000000000000003,method1,0.6538324420677362,0.161726618705036,0.33652694610778444,0.10643939393939394
34,full_models2,level1,0.8500000000000003,method1,0.9003565062388592,0.01294879340788699,0.006586826347305389,0.3793103448275862
35,full_models2,level1,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
36,job_models,level1,0.5,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
37,job_models,level1,0.55,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
38,job_models,level1,0.6000000000000001,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
39,job_models,level1,0.6500000000000001,method1,0.10017825311942959,0.1801645734084019,0.9964071856287425,0.0990358290679681
40,job_models,level1,0.7000000000000002,method1,0.12608437314319668,0.17896617170927767,0.9598802395209581,0.09868259049495198
41,job_models,level1,0.7500000000000002,method1,0.5640522875816993,0.17663561889799126,0.47125748502994014,0.10868664549095429
42,job_models,level1,0.8000000000000003,method1,0.8986928104575164,0.008144269924374635,0.004191616766467066,0.14285714285714285
43,job_models,level1,0.8500000000000003,method1,0.9008318478906714,0.001196888090963495,0.0005988023952095808,1.0
44,job_models,level1,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
45,concept_models,level3,0.5,method1,0.210873440285205,0.17861339600470033,0.8646706586826347,0.09959307538450927
46,concept_models,level3,0.55,method1,0.3434343434343434,0.17178833758057263,0.6862275449101797,0.09818368745716244
47,concept_models,level3,0.6000000000000001,method1,0.5371954842543077,0.1634625711524004,0.455688622754491,0.0995942939405837
48,concept_models,level3,0.6500000000000001,method1,0.6980392156862745,0.1597222222222222,0.2892215568862275,0.11032434901781635
49,concept_models,level3,0.7000000000000002,method1,0.8190136660724896,0.13416714042069355,0.14131736526946106,0.1277056277056277
50,concept_models,level3,0.7500000000000002,method1,0.8789067142008319,0.0677035681610247,0.04431137724550898,0.1434108527131783
51,concept_models,level3,0.8000000000000003,method1,0.8977421271538919,0.030422535211267608,0.016167664670658683,0.2571428571428571
52,concept_models,level3,0.8500000000000003,method1,0.9009506833036245,0.008328375966686495,0.004191616766467066,0.6363636363636364
53,concept_models,level3,0.9000000000000004,method1,0.9008318478906714,0.001196888090963495,0.0005988023952095808,1.0
54,job_models,alt,0.5,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
55,job_models,alt,0.55,method1,0.12299465240641712,0.1810918774966711,0.9772455089820359,0.0997920997920998
56,job_models,alt,0.6000000000000001,method1,0.5752822341057635,0.20859167404782994,0.5640718562874252,0.12795436022819887
57,job_models,alt,0.6500000000000001,method1,0.883184789067142,0.09484346224677716,0.061676646706586825,0.2051792828685259
58,job_models,alt,0.7000000000000002,method1,0.9002970885323827,0.01410105757931845,0.00718562874251497,0.375
59,job_models,alt,0.7500000000000002,method1,0.9006535947712418,0.0011947431302270011,0.0005988023952095808,0.25
60,job_models,alt,0.8000000000000003,method1,0.9007724301841948,0.0,0.0,0.0
61,job_models,alt,0.8500000000000003,method1,0.9007724301841948,0.0,0.0,0.0
62,job_models,alt,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
63,full_models2,level2,0.5,method1,0.10225787284610814,0.18023981335792957,0.9946107784431137,0.0990990990990991
64,full_models2,level2,0.55,method1,0.17712418300653596,0.17736857736857736,0.8940119760479042,0.09845037916254533
65,full_models2,level2,0.6000000000000001,method1,0.27617349970291144,0.17744767049291021,0.7868263473053893,0.1
66,full_models2,level2,0.6500000000000001,method1,0.35668449197860963,0.17218441776894258,0.6742514970059881,0.09869401349811552
67,full_models2,level2,0.7000000000000002,method1,0.46411170528817586,0.16806567659809982,0.5455089820359281,0.09933485988441827
68,full_models2,level2,0.7500000000000002,method1,0.603802733214498,0.15808080808080807,0.37485029940119763,0.10016
69,full_models2,level2,0.8000000000000003,method1,0.7528817587641117,0.1472216526553209,0.2149700598802395,0.11194262550670409
70,full_models2,level2,0.8500000000000003,method1,0.8527035056446821,0.10408384531984098,0.08622754491017964,0.13126709206927986
71,full_models2,level2,0.9000000000000004,method1,0.8934640522875817,0.032379924446842956,0.017964071856287425,0.16393442622950818
72,concept_models,alt,0.5,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
73,concept_models,alt,0.55,method1,0.12287581699346405,0.18116263589971154,0.9778443113772455,0.09982882993030932
74,concept_models,alt,0.6000000000000001,method1,0.574212715389186,0.20835174547061425,0.5646706586826348,0.12774315903549174
75,concept_models,alt,0.6500000000000001,method1,0.8831253713606655,0.09479981592268752,0.061676646706586825,0.2047713717693837
76,concept_models,alt,0.7000000000000002,method1,0.9002970885323827,0.01410105757931845,0.00718562874251497,0.375
77,concept_models,alt,0.7500000000000002,method1,0.9006535947712418,0.0011947431302270011,0.0005988023952095808,0.25
78,concept_models,alt,0.8000000000000003,method1,0.9007724301841948,0.0,0.0,0.0
79,concept_models,alt,0.8500000000000003,method1,0.9007724301841948,0.0,0.0,0.0
80,concept_models,alt,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
81,job_models,level3,0.5,method1,0.14658348187759954,0.17874092286580134,0.9359281437125748,0.09880523421202352
82,job_models,level3,0.55,method1,0.19673202614379084,0.17722597529060924,0.8718562874251496,0.09863830363796491
83,job_models,level3,0.6000000000000001,method1,0.3031491384432561,0.17605732752564282,0.7502994011976047,0.09972938554600445
84,job_models,level3,0.6500000000000001,method1,0.45496137849079027,0.1739756866276452,0.578443113772455,0.10238473767885532
85,job_models,level3,0.7000000000000002,method1,0.6334521687462864,0.164205392223276,0.362874251497006,0.10611101383295395
86,job_models,level3,0.7500000000000002,method1,0.7932263814616756,0.13946587537091987,0.1688622754491018,0.11878685762426285
87,job_models,level3,0.8000000000000003,method1,0.8731431966726084,0.06809253601047577,0.046706586826347304,0.12560386473429952
88,job_models,level3,0.8500000000000003,method1,0.8972667855020796,0.023715415019762844,0.012574850299401197,0.2079207920792079
89,job_models,level3,0.9000000000000004,method1,0.9003565062388592,0.002379535990481856,0.0011976047904191617,0.18181818181818182
90,concept_models,level1,0.5,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
91,concept_models,level1,0.55,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
92,concept_models,level1,0.6000000000000001,method1,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
93,concept_models,level1,0.6500000000000001,method1,0.0994058229352347,0.18039258097658573,0.9988023952095808,0.09914997325090649
94,concept_models,level1,0.7000000000000002,method1,0.15472370766488414,0.17967939107369393,0.932934131736527,0.09941296579887698
95,concept_models,level1,0.7500000000000002,method1,0.7201426024955436,0.18001392757660167,0.3095808383233533,0.12690230731467844
96,concept_models,level1,0.8000000000000003,method1,0.9005941770647653,0.0035735556879094702,0.0017964071856287425,0.3333333333333333
97,concept_models,level1,0.8500000000000003,method1,0.9007724301841948,0.0,0.0,0.0
98,concept_models,level1,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
99,concept_models,level2,0.5,method1,0.12715389185977422,0.18170677361853832,0.9766467065868264,0.1001719690455718
100,concept_models,level2,0.55,method1,0.8653000594177065,0.13769494104222138,0.10838323353293414,0.18873826903023982
101,concept_models,level2,0.6000000000000001,method1,0.8997029114676174,0.0047169811320754715,0.0023952095808383233,0.15384615384615385
102,concept_models,level2,0.6500000000000001,method1,0.9008318478906714,0.001196888090963495,0.0005988023952095808,1.0
103,concept_models,level2,0.7000000000000002,method1,0.9007724301841948,0.0,0.0,0.0
104,concept_models,level2,0.7500000000000002,method1,0.9007724301841948,0.0,0.0,0.0
105,concept_models,level2,0.8000000000000003,method1,0.9007724301841948,0.0,0.0,0.0
106,concept_models,level2,0.8500000000000003,method1,0.9007724301841948,0.0,0.0,0.0
107,concept_models,level2,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
108,job_models,level2,0.5,method1,0.14777183600713012,0.18296781543719737,0.9616766467065868,0.10110166824047843
109,job_models,level2,0.55,method1,0.8939393939393939,0.02618657937806874,0.01437125748502994,0.147239263803681
110,job_models,level2,0.6000000000000001,method1,0.9002970885323827,0.0023781212841854932,0.0011976047904191617,0.16666666666666666
111,job_models,level2,0.6500000000000001,method1,0.9005347593582887,0.0011933174224343676,0.0005988023952095808,0.16666666666666666
112,job_models,level2,0.7000000000000002,method1,0.9007130124777184,0.0,0.0,0.0
113,job_models,level2,0.7500000000000002,method1,0.9007724301841948,0.0,0.0,0.0
114,job_models,level2,0.8000000000000003,method1,0.9007724301841948,0.0,0.0,0.0
115,job_models,level2,0.8500000000000003,method1,0.9007724301841948,0.0,0.0,0.0
116,job_models,level2,0.9000000000000004,method1,0.9007724301841948,0.0,0.0,0.0
