,model,level,threshold,method,accuracy,f1_score,recall,precision
0,base_model,,0.5,method1,0.1,0.18181818181818182,1.0,0.1
1,base_model,,0.55,method1,0.23804020100502513,0.2034147622800105,0.9728643216080402,0.11358169551188031
2,base_model,,0.6000000000000001,method1,0.8084422110552764,0.3363509749303621,0.48542713567839196,0.25732551944592436
3,base_model,,0.6500000000000001,method1,0.9005025125628141,0.11369740376007162,0.06381909547738693,0.5204918032786885
4,base_model,,0.7000000000000002,method1,0.8995979899497487,0.0019980019980019984,0.0010050251256281408,0.16666666666666666
5,base_model,,0.7500000000000002,method1,0.9,0.0,0.0,0.0
6,base_model,,0.8000000000000003,method1,0.9,0.0,0.0,0.0
7,base_model,,0.8500000000000003,method1,0.9,0.0,0.0,0.0
8,base_model,,0.9000000000000004,method1,0.9,0.0,0.0,0.0
9,concept_model,alt,0.5,method1,0.1,0.18181818181818182,1.0,0.1
10,concept_model,alt,0.55,method1,0.21974874371859296,0.2005046084135729,0.978391959798995,0.11169755034134587
11,concept_model,alt,0.6000000000000001,method1,0.7966834170854271,0.34211382113821137,0.528643216080402,0.2528846153846154
12,concept_model,alt,0.6500000000000001,method1,0.9000502512562814,0.12801402893467778,0.07336683417085427,0.5017182130584192
13,concept_model,alt,0.7000000000000002,method1,0.8997989949748744,0.005982053838484546,0.003015075376884422,0.375
14,concept_model,alt,0.7500000000000002,method1,0.9,0.0,0.0,0.0
15,concept_model,alt,0.8000000000000003,method1,0.9,0.0,0.0,0.0
16,concept_model,alt,0.8500000000000003,method1,0.9,0.0,0.0,0.0
17,concept_model,alt,0.9000000000000004,method1,0.9,0.0,0.0,0.0
18,job_model,alt,0.5,method1,0.1,0.18181818181818182,1.0,0.1
19,job_model,alt,0.55,method1,0.2201005025125628,0.20057690326568453,0.978391959798995,0.11174242424242424
20,job_model,alt,0.6000000000000001,method1,0.7969346733668342,0.3421780888816539,0.5281407035175879,0.25307006982903923
21,job_model,alt,0.6500000000000001,method1,0.9000502512562814,0.12801402893467778,0.07336683417085427,0.5017182130584192
22,job_model,alt,0.7000000000000002,method1,0.8997989949748744,0.005982053838484546,0.003015075376884422,0.375
23,job_model,alt,0.7500000000000002,method1,0.9,0.0,0.0,0.0
24,job_model,alt,0.8000000000000003,method1,0.9,0.0,0.0,0.0
25,job_model,alt,0.8500000000000003,method1,0.9,0.0,0.0,0.0
26,job_model,alt,0.9000000000000004,method1,0.9,0.0,0.0,0.0
27,tsdae_model,,0.5,method1,0.10020100502512563,0.18185141186146395,1.0,0.10002010454362686
28,tsdae_model,,0.55,method1,0.13185929648241207,0.18578565369026295,0.9904522613065326,0.10250676097358019
29,tsdae_model,,0.6000000000000001,method1,0.31090452261306534,0.20811918923601086,0.9055276381909547,0.11757030077640765
30,tsdae_model,,0.6500000000000001,method1,0.6215075376884422,0.2419484702093398,0.6040201005025125,0.15127107978857288
31,tsdae_model,,0.7000000000000002,method1,0.8268844221105528,0.23664967870596054,0.26834170854271355,0.2116527942925089
32,tsdae_model,,0.7500000000000002,method1,0.8955778894472362,0.07232142857142856,0.0407035175879397,0.324
33,tsdae_model,,0.8000000000000003,method1,0.8998492462311558,0.0020030045067601404,0.0010050251256281408,0.2857142857142857
34,tsdae_model,,0.8500000000000003,method1,0.9,0.0,0.0,0.0
35,tsdae_model,,0.9000000000000004,method1,0.9,0.0,0.0,0.0
