,threshold,fpr,tpr
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,1.0,1.0
4,0.04,1.0,1.0
5,0.05,1.0,1.0
6,0.06,1.0,1.0
7,0.07,1.0,1.0
8,0.08,1.0,1.0
9,0.09,1.0,1.0
10,0.1,1.0,1.0
11,0.11,1.0,1.0
12,0.12,1.0,1.0
13,0.13,1.0,1.0
14,0.14,1.0,1.0
15,0.15,1.0,1.0
16,0.16,1.0,1.0
17,0.17,1.0,1.0
18,0.18,1.0,1.0
19,0.19,1.0,1.0
20,0.2,1.0,1.0
21,0.21,1.0,1.0
22,0.22,1.0,1.0
23,0.23,1.0,1.0
24,0.24,1.0,1.0
25,0.25,1.0,1.0
26,0.26,1.0,1.0
27,0.27,1.0,1.0
28,0.28,1.0,1.0
29,0.29,1.0,1.0
30,0.3,1.0,1.0
31,0.31,1.0,1.0
32,0.32,1.0,1.0
33,0.33,1.0,1.0
34,0.34,1.0,1.0
35,0.35000000000000003,1.0,1.0
36,0.36,1.0,1.0
37,0.37,1.0,1.0
38,0.38,1.0,1.0
39,0.39,1.0,1.0
40,0.4,1.0,1.0
41,0.41000000000000003,1.0,1.0
42,0.42,1.0,1.0
43,0.43,1.0,1.0
44,0.44,1.0,1.0
45,0.45,1.0,1.0
46,0.46,1.0,1.0
47,0.47000000000000003,1.0,1.0
48,0.48,1.0,1.0
49,0.49,1.0,1.0
50,0.5,1.0,1.0
51,0.51,1.0,1.0
52,0.52,0.995,1.0
53,0.53,0.9716666666666667,1.0
54,0.54,0.8544444444444445,1.0
55,0.55,0.6944444444444444,1.0
56,0.56,0.5866666666666667,1.0
57,0.5700000000000001,0.44333333333333336,0.98
58,0.58,0.3288888888888889,0.935
59,0.59,0.21444444444444444,0.845
60,0.6,0.13777777777777778,0.765
61,0.61,0.09555555555555556,0.64
62,0.62,0.057777777777777775,0.495
63,0.63,0.02666666666666667,0.435
64,0.64,0.014444444444444444,0.37
65,0.65,0.009444444444444445,0.23
66,0.66,0.0033333333333333335,0.17
67,0.67,0.0016666666666666668,0.055
68,0.68,0.0011111111111111111,0.04
69,0.6900000000000001,0.0,0.015
70,0.7000000000000001,0.0,0.0
71,0.71,0.0,0.0
72,0.72,0.0,0.0
73,0.73,0.0,0.0
74,0.74,0.0,0.0
75,0.75,0.0,0.0
76,0.76,0.0,0.0
77,0.77,0.0,0.0
78,0.78,0.0,0.0
79,0.79,0.0,0.0
80,0.8,0.0,0.0
81,0.81,0.0,0.0
82,0.8200000000000001,0.0,0.0
83,0.8300000000000001,0.0,0.0
84,0.84,0.0,0.0
85,0.85,0.0,0.0
86,0.86,0.0,0.0
87,0.87,0.0,0.0
88,0.88,0.0,0.0
89,0.89,0.0,0.0
90,0.9,0.0,0.0
91,0.91,0.0,0.0
92,0.92,0.0,0.0
93,0.93,0.0,0.0
94,0.9400000000000001,0.0,0.0
95,0.9500000000000001,0.0,0.0
96,0.96,0.0,0.0
97,0.97,0.0,0.0
98,0.98,0.0,0.0
99,0.99,0.0,0.0
