,threshold,fpr,tpr
0,0.0,0.9994152046783625,1.0
1,0.01,0.9994152046783625,1.0
2,0.02,0.9994152046783625,1.0
3,0.03,0.9994152046783625,1.0
4,0.04,0.9994152046783625,1.0
5,0.05,0.9994152046783625,1.0
6,0.06,0.9994152046783625,1.0
7,0.07,0.9994152046783625,1.0
8,0.08,0.9994152046783625,1.0
9,0.09,0.9994152046783625,1.0
10,0.1,0.9994152046783625,1.0
11,0.11,0.9994152046783625,1.0
12,0.12,0.9994152046783625,1.0
13,0.13,0.9994152046783625,1.0
14,0.14,0.9994152046783625,1.0
15,0.15,0.9994152046783625,1.0
16,0.16,0.9994152046783625,1.0
17,0.17,0.9994152046783625,1.0
18,0.18,0.9994152046783625,1.0
19,0.19,0.9994152046783625,1.0
20,0.2,0.9994152046783625,1.0
21,0.21,0.9994152046783625,1.0
22,0.22,0.9994152046783625,1.0
23,0.23,0.9994152046783625,1.0
24,0.24,0.9994152046783625,1.0
25,0.25,0.9994152046783625,1.0
26,0.26,0.9994152046783625,1.0
27,0.27,0.9994152046783625,1.0
28,0.28,0.9994152046783625,1.0
29,0.29,0.9994152046783625,1.0
30,0.3,0.9994152046783625,1.0
31,0.31,0.9994152046783625,1.0
32,0.32,0.9994152046783625,1.0
33,0.33,0.9994152046783625,1.0
34,0.34,0.9994152046783625,1.0
35,0.35000000000000003,0.9994152046783625,1.0
36,0.36,0.9994152046783625,1.0
37,0.37,0.9994152046783625,1.0
38,0.38,0.9994152046783625,1.0
39,0.39,0.9994152046783625,1.0
40,0.4,0.9994152046783625,1.0
41,0.41000000000000003,0.9994152046783625,1.0
42,0.42,0.9994152046783625,1.0
43,0.43,0.9994152046783625,1.0
44,0.44,0.9994152046783625,1.0
45,0.45,0.9994152046783625,1.0
46,0.46,0.9994152046783625,1.0
47,0.47000000000000003,0.9994152046783625,1.0
48,0.48,0.9994152046783625,1.0
49,0.49,0.9994152046783625,1.0
50,0.5,0.9994152046783625,1.0
51,0.51,0.9994152046783625,1.0
52,0.52,0.9994152046783625,1.0
53,0.53,0.9994152046783625,1.0
54,0.54,0.9994152046783625,1.0
55,0.55,0.9982456140350877,1.0
56,0.56,0.9953216374269006,1.0
57,0.5700000000000001,0.9801169590643275,1.0
58,0.58,0.9444444444444444,1.0
59,0.59,0.867251461988304,1.0
60,0.6,0.8005847953216374,1.0
61,0.61,0.7391812865497076,1.0
62,0.62,0.6713450292397661,0.9947368421052631
63,0.63,0.5953216374269006,0.9842105263157894
64,0.64,0.5304093567251462,0.9578947368421052
65,0.65,0.4567251461988304,0.9421052631578948
66,0.66,0.3900584795321637,0.8789473684210526
67,0.67,0.34444444444444444,0.8421052631578947
68,0.68,0.2894736842105263,0.8052631578947368
69,0.6900000000000001,0.22690058479532163,0.7315789473684211
70,0.7000000000000001,0.1953216374269006,0.6578947368421053
71,0.71,0.17134502923976608,0.6105263157894737
72,0.72,0.14502923976608187,0.5421052631578948
73,0.73,0.12982456140350876,0.45263157894736844
74,0.74,0.09707602339181287,0.4105263157894737
75,0.75,0.0847953216374269,0.38421052631578945
76,0.76,0.07485380116959064,0.34210526315789475
77,0.77,0.0695906432748538,0.30526315789473685
78,0.78,0.05964912280701754,0.2631578947368421
79,0.79,0.04502923976608187,0.2631578947368421
80,0.8,0.044444444444444446,0.23157894736842105
81,0.81,0.03976608187134503,0.20526315789473684
82,0.8200000000000001,0.03216374269005848,0.19473684210526315
83,0.8300000000000001,0.02982456140350877,0.17894736842105263
84,0.84,0.029239766081871343,0.14210526315789473
85,0.85,0.02865497076023392,0.12631578947368421
86,0.86,0.028070175438596492,0.12631578947368421
87,0.87,0.02280701754385965,0.10526315789473684
88,0.88,0.022222222222222223,0.08421052631578947
89,0.89,0.021637426900584796,0.07368421052631578
90,0.9,0.021637426900584796,0.06842105263157895
91,0.91,0.013450292397660818,0.05263157894736842
92,0.92,0.00760233918128655,0.042105263157894736
93,0.93,0.0029239766081871343,0.03684210526315789
94,0.9400000000000001,0.0029239766081871343,0.03684210526315789
95,0.9500000000000001,0.0005847953216374269,0.03684210526315789
96,0.96,0.0005847953216374269,0.021052631578947368
97,0.97,0.0,0.0
98,0.98,0.0,0.0
99,0.99,0.0,0.0
